created_on,Consumption,Status
2022-04-16 11:33:41+00:00,137,Normal
2022-04-16 11:40:45+00:00,236,Normal
2022-04-16 11:43:40+00:00,97,Normal
2022-04-16 11:48:42+00:00,115,Normal
2022-04-16 11:53:39+00:00,137,Normal
2022-04-16 11:58:39+00:00,147,Normal
2022-04-16 12:03:42+00:00,165,Normal
2022-04-16 12:10:44+00:00,166,Normal
2022-04-16 12:13:43+00:00,64,Normal
2022-04-16 12:18:42+00:00,103,Normal
2022-04-16 12:23:42+00:00,106,Normal
2022-04-16 12:28:41+00:00,166,Normal
2022-04-16 12:33:42+00:00,110,Normal
2022-04-16 12:40:46+00:00,9,Normal
2022-04-16 12:43:40+00:00,23,Normal
2022-04-16 12:48:42+00:00,515,Normal
2022-04-16 12:53:40+00:00,540,Normal
2022-04-16 12:58:41+00:00,538,Normal
2022-04-16 13:03:43+00:00,459,Normal
2022-04-16 13:10:45+00:00,629,Normal
2022-04-16 13:13:40+00:00,315,Normal
2022-04-16 13:18:41+00:00,532,Normal
2022-04-16 13:23:42+00:00,528,Normal
2022-04-16 13:28:43+00:00,502,Normal
2022-04-16 13:33:42+00:00,531,Normal
2022-04-16 13:40:45+00:00,743,Normal
2022-04-16 13:43:42+00:00,288,Normal
2022-04-16 13:48:42+00:00,536,Normal
2022-04-16 13:53:40+00:00,530,Normal
2022-04-16 13:58:41+00:00,532,Normal
2022-04-16 14:03:41+00:00,536,Normal
2022-04-16 14:10:47+00:00,479,Normal
2022-04-16 14:13:41+00:00,0,Normal
2022-04-16 14:18:41+00:00,0,Normal
2022-04-16 14:23:41+00:00,3,Normal
2022-04-16 14:28:40+00:00,0,Normal
2022-04-16 14:33:40+00:00,0,Normal
2022-04-16 14:40:45+00:00,50,Normal
2022-04-16 14:43:42+00:00,13,Normal
2022-04-16 14:48:42+00:00,25,Normal
2022-04-16 14:54:51+00:00,1,Normal
2022-04-16 14:58:43+00:00,54,Normal
2022-04-16 15:03:41+00:00,6,Normal
2022-04-16 15:10:46+00:00,0,Normal
2022-04-16 15:13:43+00:00,0,Normal
2022-04-16 15:18:41+00:00,8,Normal
2022-04-16 15:23:41+00:00,4,Normal
2022-04-16 15:28:41+00:00,30,Normal
2022-04-16 15:33:41+00:00,8,Normal
2022-04-16 15:40:48+00:00,39,Normal
2022-04-16 15:43:41+00:00,8,Normal
2022-04-16 15:48:40+00:00,0,Normal
2022-04-16 15:53:41+00:00,0,Normal
2022-04-16 15:58:41+00:00,0,Normal
2022-04-16 16:03:40+00:00,13,Normal
2022-04-16 16:10:44+00:00,0,Normal
2022-04-16 16:13:41+00:00,34,Normal
2022-04-16 16:18:40+00:00,30,Normal
2022-04-16 16:23:40+00:00,109,Normal
2022-04-16 16:28:39+00:00,63,Normal
2022-04-16 16:33:39+00:00,1,Normal
2022-04-16 16:40:44+00:00,39,Normal
2022-04-16 16:43:40+00:00,7,Normal
2022-04-16 16:48:40+00:00,0,Normal
2022-04-16 16:53:40+00:00,6,Normal
2022-04-16 16:58:39+00:00,4,Normal
2022-04-16 17:03:39+00:00,0,Normal
2022-04-16 17:10:44+00:00,20,Normal
2022-04-16 17:13:44+00:00,0,Normal
2022-04-16 17:18:43+00:00,0,Normal
2022-04-16 17:23:40+00:00,4,Normal
2022-04-16 17:28:42+00:00,14,Normal
2022-04-16 17:33:40+00:00,5,Normal
2022-04-16 17:40:45+00:00,190,Normal
2022-04-16 17:43:41+00:00,0,Normal
2022-04-16 17:48:42+00:00,4,Normal
2022-04-16 17:53:42+00:00,5,Normal
2022-04-16 17:58:41+00:00,43,Normal
2022-04-16 18:03:40+00:00,9,Normal
2022-04-16 18:10:44+00:00,7,Normal
2022-04-16 18:13:44+00:00,45,Normal
2022-04-16 18:18:44+00:00,37,Normal
2022-04-16 18:23:42+00:00,479,Normal
2022-04-16 18:28:41+00:00,531,Normal
2022-04-16 18:33:41+00:00,533,Normal
2022-04-16 18:40:44+00:00,739,Normal
2022-04-16 18:43:41+00:00,285,Normal
2022-04-16 18:48:41+00:00,509,Normal
2022-04-16 18:53:43+00:00,539,Normal
2022-04-16 18:58:41+00:00,542,Normal
2022-04-16 19:03:41+00:00,511,Normal
2022-04-16 19:10:47+00:00,667,Normal
2022-04-16 19:13:41+00:00,308,Normal
2022-04-16 19:18:40+00:00,446,Normal
2022-04-16 19:23:41+00:00,119,Normal
2022-04-16 19:28:43+00:00,34,Normal
2022-04-16 19:33:42+00:00,10,Normal
2022-04-16 19:40:44+00:00,18,Normal
2022-04-16 19:43:41+00:00,0,Normal
2022-04-16 19:48:41+00:00,153,Normal
2022-04-16 19:53:41+00:00,99,Normal
2022-04-16 19:58:42+00:00,58,Normal
2022-04-16 20:03:40+00:00,3,Normal
2022-04-16 20:10:45+00:00,2,Normal
2022-04-16 20:13:41+00:00,0,Normal
2022-04-16 20:18:41+00:00,7,Normal
2022-04-16 20:23:40+00:00,79,Normal
2022-04-16 20:28:40+00:00,70,Normal
2022-04-16 20:33:42+00:00,65,Normal
2022-04-16 20:40:49+00:00,48,Normal
2022-04-16 20:43:42+00:00,0,Normal
2022-04-16 20:48:42+00:00,32,Normal
2022-04-16 20:53:40+00:00,75,Normal
2022-04-16 20:58:40+00:00,23,Normal
2022-04-16 21:03:41+00:00,35,Normal
2022-04-16 21:10:43+00:00,18,Normal
2022-04-16 21:13:41+00:00,59,Normal
2022-04-16 21:18:40+00:00,7,Normal
2022-04-16 21:23:41+00:00,3,Normal
2022-04-16 21:28:41+00:00,21,Normal
2022-04-16 21:33:41+00:00,0,Normal
2022-04-16 21:40:45+00:00,20,Normal
2022-04-16 21:43:41+00:00,0,Normal
2022-04-16 21:48:44+00:00,32,Normal
2022-04-16 21:53:41+00:00,2,Normal
2022-04-16 21:58:41+00:00,406,Normal
2022-04-16 22:03:41+00:00,251,Normal
2022-04-16 22:10:46+00:00,615,Normal
2022-04-16 22:13:43+00:00,281,Normal
2022-04-16 22:18:41+00:00,514,Normal
2022-04-16 22:23:41+00:00,541,Normal
2022-04-16 22:28:42+00:00,541,Normal
2022-04-16 22:33:42+00:00,540,Normal
2022-04-16 22:40:46+00:00,717,Normal
2022-04-16 22:43:42+00:00,298,Normal
2022-04-16 22:48:44+00:00,440,Normal
2022-04-16 22:53:39+00:00,2,Normal
2022-04-16 22:58:40+00:00,28,Normal
2022-04-16 23:03:43+00:00,24,Normal
2022-04-16 23:10:46+00:00,40,Normal
2022-04-16 23:13:43+00:00,45,Normal
2022-04-16 23:18:41+00:00,464,Normal
2022-04-16 23:23:42+00:00,515,Normal
2022-04-16 23:28:41+00:00,476,Normal
2022-04-16 23:33:41+00:00,521,Normal
2022-04-16 23:40:45+00:00,391,Normal
2022-04-16 23:43:40+00:00,0,Normal
2022-04-16 23:48:41+00:00,0,Normal
2022-04-16 23:53:41+00:00,0,Normal
2022-04-16 23:58:41+00:00,0,Normal
2022-04-17 00:03:41+00:00,0,Normal
2022-04-17 00:10:46+00:00,0,Normal
2022-04-17 00:13:41+00:00,0,Normal
2022-04-17 00:18:41+00:00,4,Normal
2022-04-17 00:23:41+00:00,0,Normal
2022-04-17 00:28:41+00:00,0,Normal
2022-04-17 00:33:40+00:00,0,Normal
2022-04-17 00:40:45+00:00,172,Normal
2022-04-17 00:43:41+00:00,0,Normal
2022-04-17 00:48:41+00:00,0,Normal
2022-04-17 00:53:41+00:00,243,Normal
2022-04-17 00:58:40+00:00,505,Normal
2022-04-17 01:03:42+00:00,217,Normal
2022-04-17 01:10:46+00:00,2,Normal
2022-04-17 01:13:40+00:00,3,Normal
2022-04-17 01:18:40+00:00,0,Normal
2022-04-17 01:23:43+00:00,10,Normal
2022-04-17 01:28:40+00:00,7,Normal
2022-04-17 01:33:41+00:00,252,Normal
2022-04-17 01:40:45+00:00,38,Normal
2022-04-17 01:43:41+00:00,8,Normal
2022-04-17 01:48:42+00:00,8,Normal
2022-04-17 01:53:39+00:00,4,Normal
2022-04-17 01:58:43+00:00,0,Normal
2022-04-17 02:03:42+00:00,65,Normal
2022-04-17 02:10:46+00:00,72,Normal
2022-04-17 02:13:39+00:00,0,Normal
2022-04-17 02:18:41+00:00,0,Normal
2022-04-17 02:23:42+00:00,6,Normal
2022-04-17 02:28:41+00:00,5,Normal
2022-04-17 02:33:41+00:00,16,Normal
2022-04-17 02:40:44+00:00,630,Normal
2022-04-17 02:43:39+00:00,299,Normal
2022-04-17 02:48:41+00:00,516,Normal
2022-04-17 02:53:40+00:00,534,Normal
2022-04-17 02:58:42+00:00,536,Normal
2022-04-17 03:03:41+00:00,533,Normal
2022-04-17 03:10:43+00:00,757,Normal
2022-04-17 03:13:42+00:00,300,Normal
2022-04-17 03:18:41+00:00,486,Normal
2022-04-17 03:23:40+00:00,510,Normal
2022-04-17 03:28:41+00:00,510,Normal
2022-04-17 03:33:41+00:00,513,Normal
2022-04-17 03:40:45+00:00,726,Normal
